Maple Route,F0058169X,East,309271,#17-174
Blackpool Avenue,G0272727M,Central,881760.0,#09-597
Castile Route,S2557244J,North,685468.0,#03-758
Mariner Vale,F2137800M,Central,918782.0,#23-334
Camley Vale,F3609454X,South,461193.0,#22-283
Queensberry Rue,G4144820U,North,260344.0,#25-849
Canning Vale,F1941406W,Central,416720.0,#12-547
Clerkenwell Avenue,G4367973U,West,130542.0,#29-446
Eaglet Avenue,G4114743T,West,104408.0,#11-977
Carlton Pass,G4145403U,West,833816.0,#22-552
Durham Drive,T0122357C,West,957171.0,#24-284
Camley Tunnel,G8186708P,South,509539.0,#09-539
Epworth Lane,T0139038J,Central,276100.0,#11-944
Ashley Grove,F6661334T,East,771218.0,#16-769
Cavaye Tunnel,G0557561W,Central,333861.0,#14-155
Sherwood Pass,F7139816K,North,817949.0,#08-628
Bective Rue,G5020824P,East,367818.0,#23-486
Baynes Road,S7623407H,Central,860065.0,#13-422
Thorndike Lane,F1011502R,West,136887.0,#06-322
Tilloch Pass,T1040184J,South,202975.0,#09-374
Arbutus Crossroad,T0193274D,East,153503.0,#28-421
Elba Way,F5125492U,South,181938.0,#23-232
Bicknell Way,G0919122X,South,245305.0,#13-734
Cave Drive,S1820113E,West,773298.0,#17-956
Virginia Lane,G6143486R,South,449008.0,#24-259
Durham Route,F7863991K,North,872852.0,#13-164
Epworth Vale,F7243231L,Central,713170.0,#22-139
East Road,T0008403J,Central,355700.0,#07-784
Capeners Pass,G7574388U,North,499436.0,#18-679
Burton Way,T0031386B,West,251180.0,#05-373
Victorian Street,T2180730Z,South,374699.0,#14-812
Oxford Crossroad,G7591183T,West,193081.0,#03-733
Clavell Route,S1780943A,North,456414.0,#28-881
Aspen Drive,F2285566L,South,308698.0,#21-435
Longleigh Street,T1183561E,Central,227105.0,#16-961
Carltoun Vale,F5447194R,Central,512227.0,#17-925
Westcott Crossroad,F1377776N,West,274200.0,#22-117
Calshot Pass,F6869681W,South,421032.0,#08-432
Adelaide Avenue,G6405061W,West,317298.0,#25-417
Dunstans Way,G1769912T,East,747110.0,#24-952
Camley Walk,T0153475G,West,543958.0,#08-175
Apollo Vale,G7654558N,Central,977669.0,#18-245
Liverpool Hill,S9820567E,South,398150.0,#24-617
Bagford Walk,G5606876M,Central,519457.0,#12-987
Bel Route,S1296329G,Central,766022.0,#26-986
Fairbairn Pass,T2009582I,West,738543.0,#02-163
Chatfield Rue,F3180593R,West,112233.0,#18-825
Angel Street,T0101685C,South,365043.0,#16-161
Woodland Pass,S7272418F,Central,641115.0,#21-241
Arbutus Route,F6515429M,Central,194430.0,#04-193
Apsley Walk,S3974598D,West,875637.0,#29-286
Capeners Avenue,T1175635I,West,179620.0,#25-865
South Grove,T0059799B,South,516272.0,#01-665
Clarks Route,T0118684H,North,584354.0,#08-685
Angrave Hill,T2115994D,West,252575.0,#22-213
Blendon Pass,T1004935G,South,155432.0,#11-393
Bales Way,G9440048T,South,125399.0,#29-691
Andsell Walk,G5395207R,Central,769019.0,#13-748
Rivervalley Lane,S4297726H,East,115623.0,#21-585
Meadow Rue,F5284253X,Central,721435.0,#06-449
Thomas Doyle Lane,T2060676I,South,955972.0,#09-451
Caldwell Boulevard,G7908471P,North,475361.0,#18-784
Adelaide Boulevard,G8767410Q,Central,795092.0,#02-363
Bayberry Hill,F9333933U,West,728845.0,#07-998
Balfour Alley,T1189501D,West,826864.0,#17-892
Beaconsfield Way,T1182512A,South,765518.0,#08-825
Sherlock Road,S4530050A,West,863238.0,#24-727
Becklow Route,G0667955U,Central,764375.0,#19-854
Lonsdale Boulevard,G0034884N,West,868114.0,#17-356
Linden Street,T2156301Z,South,385320.0,#05-559
Longmoore Vale,S1415999A,West,640360.0,#26-797
Heritage Walk,S7855590D,East,733651.0,#11-968
Longleigh Alley,S6675650E,Central,325968.0,#13-364
Wager Drive,F4669195N,East,819824.0,#01-329
Blean Boulevard,G8846777P,East,812962.0,#03-659
Fairbairn Drive,F6329567K,East,641797.0,#12-855
Lexington Pass,S7307968C,East,327098.0,#24-569
Bayberry Drive,G8406241W,North,312165.0,#02-645
Coley Lane,G0617329U,West,481865.0,#12-442
Sherlock Avenue,S5772889B,South,821568.0,#29-961
Bective Rue,F2118788R,South,868129.0,#04-812
Dunton Rue,S8736691Z,East,235805.0,#09-718
Norfolk Road,T0091445I,Central,544453.0,#04-511
Clere Street,S1840402H,Central,994572.0,#01-479
